periodo,nrc,momento,programa_codigo,programa_nombre,asignatura,banner_status,moodle_status,template
202621,21-79711,MD2,UVCE,Iins Virtual y  a Distancia,Direccionamiento Estratégico,,OK,
202621,21-79766,1,OPGR,Vicerrectoría General Académic,Opción de Grado,SIN_DOCENTE,OK,
202641,41-70080,MD2,EGP1,ESP EN GERENCIA DE PROYECTOS,Electiva I,,OK,VACIO
202685,85-1813,1,AEM9,Vicerrectoria Regionales,Fundamentación Sg Sst,SIN_DOCENTE,OK,
202685,85-1814,1,AEM9,Vicerrectoria Regionales,Estructuración del Sistema De,SIN_DOCENTE,OK,
202685,85-1815,1,AEM9,Vicerrectoria Regionales,Requisitos del Sistema,SIN_DOCENTE,OK,
202685,85-1816,1,AEM9,Vicerrectoria Regionales,Gestión Integral en Sst,SIN_DOCENTE,OK,
202685,85-1821,1,DGQ9,Dp Op en Gest Estrat Talent Hu,Módulo 1 Selección y Capatació,SIN_DOCENTE,OK,
202685,85-1822,1,DGQ9,Dp Op en Gest Estrat Talent Hu,Módulo 2 Elaboración de Manual,SIN_DOCENTE,OK,
202685,85-1823,1,DGQ9,Dp Op en Gest Estrat Talent Hu,Módulo 3 Sistema de Gestión,SIN_DOCENTE,OK,
202685,85-1824,1,DGQ9,Dp Op en Gest Estrat Talent Hu,Módulo 4 Cuarta Revolución Ind,SIN_DOCENTE,REVISAR_MANUAL,
202685,85-1825,1,DMW9,Dp en Marketing Digital e IAS,Dp en Marketing Digital e IAS,SIN_DOCENTE,REVISAR_MANUAL,
202685,85-1826,1,DSM9,Vicerrectoria Regionales,Módulo 1 Módulo 2,SIN_DOCENTE,OK,
202685,85-1827,1,DSM9,Vicerrectoria Regionales,Módulo 3 Módulo 4,SIN_DOCENTE,REVISAR_MANUAL,
202685,85-1828,1,DSM9,Vicerrectoria Regionales,Modulo 5 Modulo 6,SIN_DOCENTE,REVISAR_MANUAL,
202685,85-1829,1,DSM9,Vicerrectoria Regionales,Modulo 7,SIN_DOCENTE,OK,
202685,85-1830,1,DTR9,Vicerrectoria Regionales,Módulo 1 Impuestos,SIN_DOCENTE,REVISAR_MANUAL,
202685,85-1831,1,DTR9,Vicerrectoria Regionales,Módulo 2 Impuestos Directos,SIN_DOCENTE,OK,
202685,85-1832,1,DTR9,Vicerrectoria Regionales,Módulo 3 Procedimiento,SIN_DOCENTE,OK,
202685,85-1833,1,DTR9,Vicerrectoria Regionales,Módulo 4 Planeación,SIN_DOCENTE,OK,
202685,85-1834,1,DTR9,Vicerrectoria Regionales,Módulo 1 Impuestos,SIN_DOCENTE,OK,
202685,85-1835,1,DTR9,Vicerrectoria Regionales,Módulo 2 Impuestos Directos,SIN_DOCENTE,OK,
202685,85-1836,1,DTR9,Vicerrectoria Regionales,Módulo 3 Procedimiento,SIN_DOCENTE,OK,
202685,85-1837,1,DTR9,Vicerrectoria Regionales,Módulo 4 Planeación,SIN_DOCENTE,OK,
202685,85-1838,1,PBI9,Dp Op Business Intelligence BI,Dp Op Business Intelligence BI,SIN_DOCENTE,OK,
202685,85-1851,1,ATR9,Dip Op en Actualiz Tributaría,Imp  Val Agr Iva Ret en la Fue,SIN_DOCENTE,OK,
202685,85-1852,1,ATR9,Dip Op en Actualiz Tributaría,Impuesto de Renta,SIN_DOCENTE,REVISAR_MANUAL,
